calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Regla Sanz;Regla Sanz;Regla;Sanz;2;female;historica;residential;https://es.wikipedia.org/wiki/Regla_Manjón
Calle Nuestra Señora de la Salud;Nuestra Señora de la Salud;Nuestra Señora de la;Salud;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Nuestra_Señora_de_la_Salud
Calle Santa Rosa;Santa Rosa;Santa;Rosa;2;female;santa;residential;https://es.wikipedia.org/wiki/Santa_Rosa
Calle Santa Olalla;Santa Olalla;Santa;Olalla;2;female;santa;residential;https://es.wikipedia.org/wiki/Santa_Olalla
Calle Virgen de la Soledad;Virgen de la Soledad;Virgen de la;Soledad;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_de_la_Soledad
Calle Virgen del Dulce Nombre;Virgen del Dulce Nombre;Virgen del Dulce;Nombre;2;female;religiosa;residential;
Calle Virgen del Silencio;Virgen del Silencio;Virgen del;Silencio;2;female;religiosa;residential;
Calle Virgen de las Angustias;Virgen de las Angustias;Virgen de las;Angustias;2;female;religiosa;residential;
Calle Virgen de la Capilla;Virgen de la Capilla;Virgen de la;Capilla;2;female;religiosa;residential;
Calle Eva Cervantes;Eva Cervantes;Eva;Cervantes;2;female;historica;residential;
Calle Virgen de Lourdes;Virgen de Lourdes;Virgen de;Lourdes;2;female;religiosa;residential;
Calle Gabriela Mistral;Gabriela Mistral;Gabriela;Mistral;2;female;escritora;residential;https://es.wikipedia.org/wiki/Gabriela_Mistral
Calle Emilia Pardo Bazán;Emilia Pardo Bazán;Emilia Pardo;Bazán;2;female;escritora;residential;https://es.wikipedia.org/wiki/Emilia_Pardo_Bazán
Calle Virgen de la Caridad;Virgen de la Caridad;Virgen de la;Caridad;2;female;religiosa;residential;
Calle Ana de Jesús;Ana de Jesús;Ana de;Jesús;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Ana_de_Jesús
Calle Isabel de Jesús;Isabel de Jesús;Isabel de;Jesús;2;female;religiosa;residential;
Calle Ana de San Bartolomé;Ana de San Bartolomé;Ana de San;Bartolomé;2;female;santa;residential;https://es.wikipedia.org/wiki/Ana_de_San_Bartolomé
Plazuela de Santa Ana;Plazuela de Santa Ana;Plazuela de Santa;Ana;2;female;santa;pedestrian;
Calle Victoria Kent;Victoria Kent;Victoria;Kent;2;female;politica;residential;https://es.wikipedia.org/wiki/Victoria_Kent
Calle Elisa Ruiz Romero;Elisa Ruiz Romero;Elisa Ruiz;Romero;2;female;historica;residential;
Calle Mery Martin;Mery Martin;Mery;Martin;2;female;historica;residential;https://es.wikipedia.org/wiki/Mary_Martin
Plaza Mikaela Rodríguez Cuesta;Mikaela Rodríguez Cuesta;Mikaela Rodríguez;Cuesta;2;female;historica;residential;
Calle Virgen de las Torres;Virgen de las Torres;Virgen de las;Torres;2;female;religiosa;residential;
Calle María Ortiz;María Ortiz;María;Ortiz;2;female;historica;residential;https://es.wikipedia.org/wiki/Maria_Ortiz
Calle Julia Rómula Híspalis;Julia Rómula Híspalis;Julia Rómula;Híspalis;2;female;historica;residential;
Avenida Virgen de la Esperanza;Virgen de la Esperanza;Virgen de la;Esperanza;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_de_la_Esperanza
Calle Nuestra Señora de Consolación;Nuestra Señora de Consolación;Nuestra Señora de;Consolación;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Nuestra_Señora_de_Consolación
Travesía de Nuestra Señora de la Consolación;Travesía de Nuestra Señora de la Consolación;Travesía de Nuestra Señora de la;Consolación;2;female;religiosa;pedestrian;
Calle Concha Caballero Cubillo;Concha Caballero Cubillo;Concha Caballero;Cubillo;2;female;politica;residential;https://es.wikipedia.org/wiki/Concha_Caballero_Cubillo
Calle Clara Jaime Melero;Clara Jaime Melero;Clara Jaime;Melero;2;female;historica;residential;
Calle Virgen de Escardiel;Virgen de Escardiel;Virgen de;Escardiel;2;female;religiosa;residential;
Calle Carmen Díaz;Carmen Díaz;Carmen;Díaz;2;female;historica;residential;
Calle Niña de la Alfalfa;Niña de la Alfalfa;Niña de la;Alfalfa;2;female;artista;pedestrian;
Plaza Rosa de Pasión;Rosa de Pasión;Rosa de;Pasión;2;female;religiosa;residential;
Plaza de Santa Cruz;de Santa Cruz;de Santa;Cruz;2;female;santa;living_street;
Paseo Catalina de Ribera;Catalina de Ribera;Catalina de;Ribera;2;female;historica;living_street;https://es.wikipedia.org/wiki/Catalina_de_Ribera
Calle Virgen del Mayor Dolor;Virgen del Mayor Dolor;Virgen del Mayor;Dolor;2;female;religiosa;residential;
Calle Siete Dolores de Nuestra Señora;Siete Dolores de Nuestra Señora;Siete Dolores de Nuestra;Señora;2;female;religiosa;living_street;
Calle Mariana de Pineda;Mariana de Pineda;Mariana de;Pineda;2;female;historica;living_street;https://es.wikipedia.org/wiki/Mariana_de_Pineda
Calle Santa Marina;Santa Marina;Santa;Marina;2;female;santa;pedestrian;
Calle Santa Maria del Mar;Santa Maria del Mar;Santa Maria del;Mar;2;female;santa;residential;
Calle Santa Maria del Reposo;Santa Maria del Reposo;Santa Maria del;Reposo;2;female;santa;residential;
Calle Carmen Martínez Sancho;Carmen Martínez Sancho;Carmen Martínez;Sancho;2;female;historica;residential;
Calle Rafi Herencia;Rafi Herencia;Rafi;Herencia;2;female;historica;residential;
Calle Madre Isabel de la Trinidad;Madre Isabel de la Trinidad;Madre Isabel de la;Trinidad;2;female;religiosa;residential;
Calle Jacinta Marto;Jacinta Marto;Jacinta;Marto;2;female;santa;service;https://es.wikipedia.org/wiki/Jacinta_Marto
Pasaje Virgen de Consolación;Pasaje Virgen de Consolación;Pasaje Virgen de;Consolación;2;female;religiosa;living_street;
Calle Nuestra Señora del Carmen;Nuestra Señora del Carmen;Nuestra Señora del;Carmen;2;female;religiosa;pedestrian;
Calle Nuestra Señora de la Antigua;Nuestra Señora de la Antigua;Nuestra Señora de la;Antigua;2;female;religiosa;pedestrian;
Calle Nuestra Señora de la Merced;Nuestra Señora de la Merced;Nuestra Señora de la;Merced;2;female;religiosa;pedestrian;
