calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Santa Rafaela María;Santa Rafaela María;Santa;Rafaela;2;Female;-;-;https://es.wikipedia.org/wiki/Rafaela_Porras_y_Ayll%C3%B3n
Calle Santa Ana;Santa Ana;Santa;Ana;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Calle Ramón y Cajal;Ramón y Cajal;Ramón;y;-2;Male;-;-
Calle Juan Mateo Jiménez;Juan Mateo Jiménez;Juan;Mateo;-2;Male;-;-
Calle Menéndez Pelayo;Menéndez Pelayo;Menéndez;Pelayo;-2;Male;-;-
Calle Cristo;Cristo;Cristo;;-2;Male;-;-
Calle San Blas;San Blas;San;Blas;-2;Male;-;-
Calle Miguel Hernández;Miguel Hernández;Miguel;Hernández;-2;Male;-;-
Calle Juan de Ávila;Juan Ávila;Juan;Ávila;-2;Male;-;-
Calle Don Bosco;Don Bosco;Don;Bosco;-2;Male;-;-
Calle José María Pereda;José María Pereda;José;María;-2;Male;-;-
Calle Presbítero Manuel López Vega;Presbítero Manuel López Vega;Presbítero;Manuel;-2;Male;-;-
Cale Juan Salvador;Cale Juan Salvador;Cale;Juan;-2;Male;-;-
Calle Arcipreste Julio Guzmán;Arcipreste Julio Guzmán;Arcipreste;Julio;-2;Male;-;-
Calle Practicante Martín Molino;Practicante Martín Molino;Practicante;Martín;-2;Male;-;-
Calle Fermín Requena;Fermín Requena;Fermín;Requena;-2;Male;-;-
Calle Dulce Nombre de María;Dulce Nombre María;Dulce;Nombre;2;Female;-;-
Calle Antonio Pineda;Antonio Pineda;Antonio;Pineda;-2;Male;-;-
Calle Diego de Almagro;Diego Almagro;Diego;Almagro;-2;Male;-;-
Calle Ramón López García;Ramón López García;Ramón;López;-2;Male;-;-
Calle Hermenegildo de la Torre;Hermenegildo Torre;Hermenegildo;Torre;-2;Male;-;-
Calle Isabel II;Isabel II;Isabel;II;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a
Calle Santa Cristina;Santa Cristina;Santa;Cristina;2;Female;-;-;https://es.wikipedia.org/wiki/Cristina_de_Bolsena
Calle Rafael Pavón;Rafael Pavón;Rafael;Pavón;-2;Male;-;-
Calle Huerto Don Moisés;Huerto Don Moisés;Huerto;Don;-2;Male;-;-
Calle Nuestra Señora del Rocío;Nuestra Señora Rocío;Nuestra;Señora;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_del_Roc%C3%ADo
Calle Juan de Oñate;Juan Oñate;Juan;Oñate;-2;Male;-;-
Calle Fray Juan Pérez;Fray Juan Pérez;Fray;Juan;-2;Male;-;-
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
Calle Santa María Micaela;Santa María Micaela;Santa;María;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Micaela_del_Sant%C3%ADsimo_Sacramento
Calle de Alonso Ercilla;Alonso Ercilla;Alonso;Ercilla;-2;Male;-;-
Calle Bartolomé García;Bartolomé García;Bartolomé;García;-2;Male;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Gobernador Alonso;Gobernador Alonso;Gobernador;Alonso;-2;Male;-;-
Calle Elena Montagut;Elena Montagut;Elena;Montagut;2;Female;-;-
Calle Doctor Emilio Haya Prats;Doctor Emilio Haya Prats;Doctor;Emilio;-2;Male;-;-
Avenida de Martín Alonso Pinzón;Martín Alonso Pinzón;Martín;Alonso;-2;Male;-;-
Calle Obispo García Lahiguera;Obispo García Lahiguera;Obispo;García;-2;Male;-;-
Calle Duque de la Victoria;Duque Victoria;Duque;Victoria;2;Male;-;-
Calle José Nogales;José Nogales;José;Nogales;-2;Male;-;-
Calle Nuestra Señora de la Esperanza Coronada;Nuestra Señora Esperanza Coronada;Nuestra;Señora;2;Female;-;-;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_la_Esperanza_(Triana)
Calle San Cristóbal;San Cristóbal;San;Cristóbal;-2;Male;-;-
Calle Arquitecto Pérez Carasa;Arquitecto Pérez Carasa;Arquitecto;Pérez;-2;Male;-;-
Calle Santa Angela de la Cruz;Santa Angela Cruz;Santa;Angela;2;Female;-;-;https://es.wikipedia.org/wiki/%C3%81ngela_de_la_Cruz
Calle Aviador Ramón Franco;Aviador Ramón Franco;Aviador;Ramón;-2;Male;-;-
Calle Luis Braille;Luis Braille;Luis;Braille;-2;Male;-;-
Calle Maestro Salvador López;Maestro Salvador López;Maestro;Salvador;-2;Male;-;-
Calle Pedro de Valdivia;Pedro Valdivia;Pedro;Valdivia;-2;Male;-;-
Calle Estrella Martín Tejerizo;Estrella Martín Tejerizo;Estrella;Martín;2;Female;-;-
Calle Las Niñas de la Manola;Las Niñas de la Manola;Niñas;Manola;2;Female;-;-
Calle Salvador Allende;Salvador Allende;Salvador;Allende;-2;Male;-;-
Calle Pedro Azcárate;Pedro Azcárate;Pedro;Azcárate;-2;Male;-;-
Calle Practicante Juan Carbonell;Practicante Juan Carbonell;Practicante;Juan;-2;Male;-;-
Calle Joaquín Turina;Joaquín Turina;Joaquín;Turina;-2;Male;-;-
Calle Goya;Goya;Goya;;2;Male;-;-
Calle Stmo.Cristo del Amor;Stmo.Cristo Amor;Stmo.Cristo;Amor;2;Male;-;-
Calle Isaac Albéniz;Isaac Albéniz;Isaac;Albéniz;-2;Male;-;-
Calle Fernando Alvarado;Fernando Alvarado;Fernando;Alvarado;-2;Male;-;-
Calle Pérez Galdós;Pérez Galdós;Pérez;Galdós;-2;Male;-;-
Calle Abogado Juan José Domínguez;Abogado Juan José Domínguez;Abogado;Juan;-2;Male;-;-
Calle Cristóbal Dorante;Cristóbal Dorante;Cristóbal;Dorante;-2;Male;-;-
Calle Elena Quiroga;Elena Quiroga;Elena;Quiroga;2;Female;-;-;https://es.wikipedia.org/wiki/Elena_Quiroga
Calle Actor Frank Romero;Actor Frank Romero;Actor;Frank;-2;Male;-;-
Calle José Isidoro Morales;José Isidoro Morales;José;Isidoro;-2;Male;-;-
Calle José Manuel Carrión;José Manuel Carrión;José;Manuel;-2;Male;-;-
Calle Santo Domingo de la Calzada;Santo Domingo Calzada;Santo;Domingo;-2;Male;-;-
Calle Dolores Ibárruri " La Pasionaria";Dolores Ibárruri "La Pasionaria";Dolores;Ibárruri;2;Female;-;-;https://es.wikipedia.org/wiki/Dolores_Ib%C3%A1rruri
Calle José Vázquez;José Vázquez;José;Vázquez;-2;Male;-;-
Calle Miguel Redondo;Miguel Redondo;Miguel;Redondo;-2;Male;-;-
Calle Escritor Luis Manzano;Escritor Luis Manzano;Escritor;Luis;-2;Male;-;-
Calle Manuel Sánchez;Manuel Sánchez;Manuel;Sánchez;-2;Male;-;-
Calle Juan Castro González;Juan Castro González;Juan;Castro;-2;Male;-;-
Calle Licenciado Juan Agustín de Mora;Licenciado Juan Agustín Mora;Licenciado;Juan;-2;Male;-;-
Calle Isaac Peral;Isaac Peral;Isaac;Peral;-2;Male;-;-
Calle Sanchica;Sanchica;Sanchica;;2;Female;-;-
Avenida de José Muñoz de Vargas;José Muñoz de Vargas;José;Muñoz;-2;Male;-;-
Avenida Manuel Siurot;Manuel Siurot;Manuel;Siurot;-2;Male;-;-
Calle Pérez Quintero;Pérez Quintero;Pérez;Quintero;-2;Male;-;-
Avenida de Julio Caro Baroja;Julio Caro Baroja;Julio;Caro;-2;Male;-;-
Parque de las Oblatas;Oblatas;Oblatas;;2;Female;-;-
Calle Fernando el Católico;Fernando el Católico;Fernando;el;-2;Male;-;-
Calle Adriano;Adriano;Adriano;;-2;Male;-;-
Calle Basilio Marquinez;Basilio Marquinez;Basilio;Marquinez;-2;Male;-;-
Calle Ernesto Deligny;Ernesto Deligny;Ernesto;Deligny;-2;Male;-;-
Calle José María Patiño;José María Patiño;José;María;-2;Male;-;-
Calle Ponce de León;Ponce León;Ponce;León;-2;Male;-;-
Calle Rodrigo de Triana;Rodrigo Triana;Rodrigo;Triana;-2;Male;-;-
Calle Minas de San Telmo;Minas San Telmo;Minas;San;-2;Male;-;-
Calle Camarada Fernando Castillo;Camarada Fernando Castillo;Camarada;Fernando;-2;Male;-;-
Calle Martín Vázquez;Martín Vázquez;Martín;Vázquez;-2;Male;-;-
Calle Manuel Martín Robles;Manuel Martín Robles;Manuel;Martín;-2;Male;-;-
Calle María Zambrano;María Zambrano;María;Zambrano;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano
Calle Adriano del Valle;Adriano Valle;Adriano;Valle;-2;Male;-;-
Calle Obispo Díaz Bernal;Obispo Díaz Bernal;Obispo;Díaz;-2;Male;-;-
Calle Arquitecto Francisco Sedano Arce;Arquitecto Francisco Sedano Arce;Arquitecto;Francisco;-2;Male;-;-
Calle Baltasar González;Baltasar González;Baltasar;González;-2;Male;-;-
Calle Francisco Jiménez;Francisco Jiménez;Francisco;Jiménez;-2;Male;-;-
Calle Jacinto Benavente;Jacinto Benavente;Jacinto;Benavente;-2;Male;-;-
Calle Lope de Vega;Lope Vega;Lope;Vega;-2;Male;-;-
Calle San Marcos;San Marcos;San;Marcos;-2;Male;-;-
Plaza del Padre Jenaro;Padre Jenaro;Padre;Jenaro;-2;Male;-;-
